NAME,SYMBOL,ADDRESS,DECIMALS,LOGOURI,VERIFIED
Wrapped Ethereum (Sollet),SOETH,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,6,https://assets.coingecko.com/coins/images/24918/large/6250754.png?1649344492,true
Solberg,SLB,2uRFEWRBQLEKpLmF8mohFZGDcFQmrkQEEZmHQvMUBvY7,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/2uRFEWRBQLEKpLmF8mohFZGDcFQmrkQEEZmHQvMUBvY7/logo.svg,true
XCOPE,XCOPE,3K6rftdAaQYMPunrtNRHgnK2UAtjm2JwyT2oCiTDouYE,0,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/3K6rftdAaQYMPunrtNRHgnK2UAtjm2JwyT2oCiTDouYE/logo.png,true
Swole Doge,SWOLE,4BzxVoBQzwKoqm1dQc78r42Yby3EzAeZmMiYFdCjeu5Z,9,https://assets.coingecko.com/coins/images/19643/large/swole.png?1635853067,true
Raydium,RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6,https://assets.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1612875614,true
Solana Inu,INU,5jFnsfx36DyGk8uVGrbXnVUMTsBkPXGpx6e69BiGFzko,9,https://assets.coingecko.com/coins/images/20020/large/YGid9wMv_400x400.jpg?1636412528,true
Bamboo Coin,BMBO,5sM9xxcBTM9rWza6nEgq2cShA87JjTBx1Cu82LjgmaEg,9,https://assets.coingecko.com/coins/images/19620/large/FC0hnduacAAHYFC.png?1635496724,true
JPOOL Solana Token,JSOL,7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn/logo.svg,true
Cope,COPE,8HGyAAB1yoM1ttS7pXjHMa3dukTFGQggnFFH3hJZgzQh,6,https://assets.coingecko.com/coins/images/14567/large/COPE.png?1617162230,true
Frax (Wormhole v1),wFRAX_v1,8L8pDf3jutdpdr4m3np68CL9ZroLActrqwxi6s9Ah5xU,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/8L8pDf3jutdpdr4m3np68CL9ZroLActrqwxi6s9Ah5xU/logo.png,true
Rope Token,ROPE,8PMHT4swUMtBzgHnh5U564N5sjPSiUz2cjEQzFnnP1Fo,9,https://assets.coingecko.com/coins/images/14661/large/rope-v6.png?1619606776,true
Audius (Wormhole),AUDIO,9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,8,https://assets.coingecko.com/coins/images/22936/large/AUDIO_wh_small.png?1644224294,true
WipeMyAss,WIPE,9ae76zqD3cgzR9gvf5Thc2NN3ACF7rqqnrLqxNzgcre6,9,https://cdn.jsdelivr.net/gh/rxrxrxrx/WipeMyAss/wipemyass.jpg,true
Wrapped Bitcoin (Sollet),BTC,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E/logo.png,true
Solex Finance,SLX,AASdD9rAefJ4PP7iM89MYUsQEyCQwvBofhceZUGDh5HZ,9,https://assets.coingecko.com/coins/images/19392/large/logo_-_2021-10-25T161153.717.png?1635149522,true
FTX,FTT,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,6,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,true
Binance USD (Wormhole v1),wBUSD_v1,AJ1W9A9N9dEMdVyoDiam2rV44gnBm2csrPDP7xqcapgX,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/AJ1W9A9N9dEMdVyoDiam2rV44gnBm2csrPDP7xqcapgX/logo.png,true
Maneki-neko,NEKI,ALKiRVrfLgzeAV2mCT7cJHKg3ZoPvsCRSV7VCRWnE8zQ,9,https://assets.coingecko.com/coins/images/21321/large/logo.png?1638944515,true
Wrapped SUSHI (Sollet),soSUSHI,AR1Mtgh7zAtxuxGd2XPovXPVjcSdY3i4rQYisNadjfKy,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/AR1Mtgh7zAtxuxGd2XPovXPVjcSdY3i4rQYisNadjfKy/logo.png,true
Decimated,DIO,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,9,https://assets.coingecko.com/coins/images/8271/large/dio_logo_coloured_transparent.png?1640744585,true
Boryoku Dragonz,BOKU,CN7qFa5iYkHz99PTctvT4xXUHnxwjQ5MHxCuTJtPN5uS,9,https://assets.coingecko.com/coins/images/20820/large/ZdgsxFPV_400x400.png?1637721291,true
Wrapped Chainlink (Sollet),soLINK,CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG/logo.png,true
agEUR (Portal),agEUR,CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1/logo.png,true
Viral Inu,VINU,CgbJxXyaHeU8VsquBpySuFXA94b6LWXxioZ28wRr8fs9,6,https://assets.coingecko.com/coins/images/20698/large/vinu.png?1642917940,true
Wrapped ALEPH (Sollet),soALEPH,CsZ5LZkDS7h9TDKjrbL7VAwQZ9nsRu8vJLhRYfmGaN8K,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CsZ5LZkDS7h9TDKjrbL7VAwQZ9nsRu8vJLhRYfmGaN8K/logo.png,true
MapMetrics,MMaps,EFqYVEitSUpUTj2d9LSqun4eZ4BzouFuTPqQzU4hNtsS,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EFqYVEitSUpUTj2d9LSqun4eZ4BzouFuTPqQzU4hNtsS/logo.png,true
HEX (Wormhole v1),wHEX_v1,ELSnGFd5XnSdYFFSgYQp7n89FEbDqxN4npuRLW4PPPLv,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ELSnGFd5XnSdYFFSgYQp7n89FEbDqxN4npuRLW4PPPLv/logo.png,true
Basic Attention Token (Portal),BAT,EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz/logo.png,true
USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,true
Media Network,MEDIA,ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs/logo.png,true
FUMoney,FUM,EZF2sPJRe26e8iyXaCrmEefrGVBkqqNGv9UPGG9EnTQz,9,https://assets.coingecko.com/coins/images/21054/large/KuH9TXMM_400x400.jpg?1638263205,true
Bonfida,FIDA,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,6,https://assets.coingecko.com/coins/images/13395/large/bonfida.png?1658327819,true
